frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score,license_plate_color
290,205,2047.6089762411239 1250.0901686728255 2637.8824774036657 1750.4861393977587,2270.213134765625 1556.0185546875 2469.607421875 1645.803955078125,0.4342274963855743,AP05JEO,0.8711613065941506,Unknown
14,206,728.0264769349499 1407.467192659076 1423.0568512197044 2051.920550809964,939.0867919921875 1807.048583984375 1185.32373046875 1910.372802734375,0.5596153140068054,NA13NRU,0.791444874826642,Unknown
124,209,2238.812216126245 1478.2988369491477 2952.074845198664 2145.689204380952,2504.47314453125 1981.803466796875 2718.550048828125 2081.614501953125,0.7118040919303894,MV51VSU,0.5617741263920455,Unknown
146,210,1051.6312665270373 1265.129812495115 1680.3600710350377 1765.9171664260184,1283.745849609375 1573.12646484375 1467.55322265625 1656.947021484375,0.491965502500534,GX15OGJ,0.8049173910326664,Unknown
316,212,1033.1823304673394 1184.3022530710034 1569.5172145815832 1654.2289216957736,1219.12109375 1465.404296875 1387.5621337890625 1551.830322265625,0.4274041950702667,KH05ZZK,0.894544081885364,Unknown
260,217,2242.634949223777 1625.0436553268999 2976.773859199795 2147.5421493714716,2513.38427734375 1986.3182373046875 2728.5986328125 2085.9716796875,0.4878261685371399,LM13VCV,0.6467049499236738,Unknown
568,218,856.483021830691 1562.1326821598836 1530.8093908430583 2153.196370769266,1085.6160888671875 1946.3638916015625 1291.74658203125 2045.2745361328125,0.6940305829048157,FJ14ZHY,0.7533295067907194,Unknown
466,290,2247.2969273134213 1362.848483241803 2853.016901839029 1877.5814516702408,2477.10400390625 1688.5257568359375 2649.4296875 1765.6102294921875,0.5008554458618164,OR02FRO,0.0561922178153175,Unknown
898,365,1153.7253293432946 1046.654688763807 1686.8678751112875 1534.1099867221187,1328.26806640625 1339.0360107421875 1491.68310546875 1425.6552734375,0.5468782782554626,IX64DMV,0.218966069372969,Unknown
550,705,2339.74574403243 1207.207861112656 2933.642874344346 1730.1487859005608,2571.91455078125 1455.0247802734375 2704.90478515625 1588.469970703125,0.3644293248653412,EY61NBG,0.889386139785091,Unknown
886,736,930.5866976517406 1339.0516524502864 1470.6879762566396 1737.1877821245962,1103.148193359375 1601.934814453125 1276.6474609375 1700.560546875,0.3513343334197998,NA54KGJ,0.2899851883840714,Unknown
773,767,794.7444794428611 1499.5189774190349 1479.8186147069964 2106.2427624854304,1007.1670532226562 1886.107177734375 1217.7001953125 1978.037841796875,0.6345999836921692,AY08HVF,0.2470282439356997,Unknown
827,890,2279.9124952466223 925.6057570352365 3012.775116645234 1857.5725640827782,2579.51123046875 1633.555908203125 2759.49267578125 1722.915283203125,0.656731128692627,BG65USJ,0.8002520507846942,Unknown
806,965,2274.843971754916 903.527702047857 3005.9291173366632 1794.4835857089347,2565.208984375 1570.378173828125 2737.484130859375 1658.390869140625,0.3189170956611633,EG65USJ,0.4012622578681517,Unknown
823,985,2279.1414224193786 925.7295892629012 3010.35183299421 1846.2531011391766,2576.269775390625 1618.9398193359375 2750.050048828125 1706.9227294921875,0.6247770190238953,BG65USJ,0.7315763958982818,Unknown
831,1000,2308.3896825418196 934.2522360625952 3019.3597629307433 1867.6835667526639,2582.08203125 1645.680908203125 2757.934814453125 1734.1365966796875,0.6302850246429443,BG65USJ,0.6372071925978748,Unknown
856,1007,2308.1978761400037 980.1771172331801 3055.193345951518 1978.5572997173526,2589.41259765625 1726.669921875 2776.49755859375 1810.50439453125,0.6288702487945557,BG65USJ,0.9491086669419224,Unknown
865,1029,2301.3665127348645 995.8129813228095 3081.2108771853723 2000.5684945198498,2591.6328125 1749.022705078125 2785.005859375 1836.482666015625,0.6515296101570129,BG65USJ,0.359686960927584,Unknown
883,1046,2308.4271158605093 1037.8807063186048 3124.2818902146414 2070.712426743946,2592.3486328125 1811.142333984375 2788.18896484375 1905.397705078125,0.6741874814033508,BC65USJ,0.8774490074486838,Unknown
